"Abbr","Beer_Name","Beer_ID","ABV","IBU","Brewery_id","Style","Ounces","Brewery_Name","City","State","state_name","lat","lng"
"AK","Single Engine Red",929,0.058,46,454,"Irish Red Ale",12,"Denali Brewing Company","Talkeetna","alaska","Alaska",62.2994,-149.9601
"AK","Amber Ale",2436,0.051,NA,103,"American Amber / Red Ale",12,"King Street Brewing Company","Anchorage","alaska","Alaska",61.1508,-149.1091
"AK","Sunken Island IPA",349,0.068,0,459,"American IPA",12,"Kenai River Brewing Company","Soldotna","alaska","Alaska",60.4862,-151.0672
"AK","Chuli Stout",1213,0.059,55,454,"Irish Dry Stout",12,"Denali Brewing Company","Talkeetna","alaska","Alaska",62.2994,-149.9601
"AK","Twister Creek India Pale Ale",947,0.065,71,454,"American IPA",12,"Denali Brewing Company","Talkeetna","alaska","Alaska",62.2994,-149.9601
"AK","King Street Hefeweizen",1666,0.057,10,103,"Hefeweizen",12,"King Street Brewing Company","Anchorage","alaska","Alaska",61.1508,-149.1091
"AK","Chugach Session Ale",919,0.048,0,494,"Cream Ale",12,"Broken Tooth Brewing Company","Anchorage","alaska","Alaska",61.1508,-149.1091
"AK","Skilak Scottish Ale (2011)",348,0.058,0,459,"Scottish Ale",12,"Kenai River Brewing Company","Soldotna","alaska","Alaska",60.4862,-151.0672
"AK","Sockeye Red IPA",434,0.057,70,224,"American IPA",12,"Midnight Sun Brewing Company","Anchorage","alaska","Alaska",61.1508,-149.1091
"AK","King Street Pilsner",1706,0.055,0,103,"Czech Pilsener",12,"King Street Brewing Company","Anchorage","alaska","Alaska",61.1508,-149.1091
"AK","Skilak Scottish Ale",1193,0.058,0,459,"Scottish Ale",12,"Kenai River Brewing Company","Soldotna","alaska","Alaska",60.4862,-151.0672
"AK","Northern Lights Amber Ale",921,0.05,15,494,"American Amber / Red Ale",12,"Broken Tooth Brewing Company","Anchorage","alaska","Alaska",61.1508,-149.1091
"AK","Pleasure Town",2093,0.063,61,224,"American IPA",12,"Midnight Sun Brewing Company","Anchorage","alaska","Alaska",61.1508,-149.1091
"AK","King Street Blonde Ale",1665,0.049,0,103,"American Blonde Ale",12,"King Street Brewing Company","Anchorage","alaska","Alaska",61.1508,-149.1091
"AK","Alaskan Amber",1920,0.053,18,271,"Altbier",12,"Alaskan Brewing Company","Juneau","alaska","Alaska",58.4546,-134.1739
"AK","Urban Wilderness Pale Ale",30,0.049,0,558,"English Pale Ale",12,"Sleeping Lady Brewing Company","Anchorage","alaska","Alaska",61.1508,-149.1091
"AK","Mother Ale",1159,0.056,46,454,"American Blonde Ale",12,"Denali Brewing Company","Talkeetna","alaska","Alaska",62.2994,-149.9601
"AK","King Street IPA",1667,0.06,70,103,"American IPA",12,"King Street Brewing Company","Anchorage","alaska","Alaska",61.1508,-149.1091
"AK","Freeride APA",1921,0.053,40,271,"American Pale Ale (APA)",12,"Alaskan Brewing Company","Juneau","alaska","Alaska",58.4546,-134.1739
"AK","Fairweather IPA",648,0.061,64,494,"American IPA",12,"Broken Tooth Brewing Company","Anchorage","alaska","Alaska",61.1508,-149.1091
"AK","Pleasure Town IPA",1814,0.063,61,224,"American IPA",12,"Midnight Sun Brewing Company","Anchorage","alaska","Alaska",61.1508,-149.1091
"AK","Polar Pale Ale",920,0.052,17,494,"American Pale Ale (APA)",12,"Broken Tooth Brewing Company","Anchorage","alaska","Alaska",61.1508,-149.1091
"AK","Snowshoe White Ale",587,0.048,12,224,"Witbier",12,"Midnight Sun Brewing Company","Anchorage","alaska","Alaska",61.1508,-149.1091
"AK","Peninsula Brewers Reserve (PBR)",1187,0.05,15,459,"American Blonde Ale",12,"Kenai River Brewing Company","Soldotna","alaska","Alaska",60.4862,-151.0672
"AK","Kodiak Brown Ale",586,0.05,24,224,"American Brown Ale",12,"Midnight Sun Brewing Company","Anchorage","alaska","Alaska",61.1508,-149.1091
"AL","Sand Island Lighthouse",1410,0.051,25,413,"Kölsch",12,"Straight to Ale","Huntsville","alabama","Alabama",34.6981,-86.6412
"AL","Snake Handler Double IPA",312,0.093,103,479,"American Double / Imperial IPA",12,"Good People Brewing Company","Birmingham","alabama","Alabama",33.5279,-86.7971
"AL","Good People IPA",309,0.06,64,479,"American IPA",12,"Good People Brewing Company","Birmingham","alabama","Alabama",33.5279,-86.7971
"AL","Naked Pig Pale Ale",1875,0.06,43,287,"American Pale Ale (APA)",12,"Back Forty Beer Company","Gadsden","alabama","Alabama",34.0086,-86.0157
"AL","Coffee Oatmeal Stout",311,0.06,54,479,"Oatmeal Stout",12,"Good People Brewing Company","Birmingham","alabama","Alabama",33.5279,-86.7971
"AL","Monkeynaut IPA",637,0.072,70,413,"American IPA",12,"Straight to Ale","Huntsville","alabama","Alabama",34.6981,-86.6412
"AL","Good People American Brown Ale",308,0.058,36,479,"American Brown Ale",12,"Good People Brewing Company","Birmingham","alabama","Alabama",33.5279,-86.7971
"AL","Truck Stop Honey Brown Ale",1876,0.06,0,287,"English Brown Ale",12,"Back Forty Beer Company","Gadsden","alabama","Alabama",34.0086,-86.0157
"AL","Lily Flagg Milk Stout",925,0.05,30,413,"Milk / Sweet Stout",12,"Straight to Ale","Huntsville","alabama","Alabama",34.6981,-86.6412
"AL","Good People Pale Ale",1000,0.056,36,479,"American Pale Ale (APA)",12,"Good People Brewing Company","Birmingham","alabama","Alabama",33.5279,-86.7971
"AR","Core Oatmeal Stout",1337,0.057,0,140,"Oatmeal Stout",12,"Core Brewing & Distilling Company","Springdale","arkansas","Arkansas",36.1901,-94.1574
"AR","Arkansas Red",1650,0.052,0,140,"American Amber / Red Ale",12,"Core Brewing & Distilling Company","Springdale","arkansas","Arkansas",36.1901,-94.1574
"AR","Core ESB",1336,0.061,0,140,"Extra Special / Strong Bitter (ESB)",12,"Core Brewing & Distilling Company","Springdale","arkansas","Arkansas",36.1901,-94.1574
"AR","Behemoth",2351,0.05,0,140,"American Pilsner",12,"Core Brewing & Distilling Company","Springdale","arkansas","Arkansas",36.1901,-94.1574
"AR","Ozark American Pale Ale",1961,0.04,39,260,"American Pale Ale (APA)",12,"Ozark Beer Company","Rogers","arkansas","Arkansas",36.317,-94.1531
"AZ","Sex Panther",2599,0.069,20,31,"American Porter",12,"SanTan Brewing Company","Chandler","arizona","Arizona",33.2825,-111.8514
"AZ","Kilt Lifter Scottish-Style Ale",1635,0.06,21,161,"",12,"Four Peaks Brewing Company","Tempe","arizona","Arizona",33.3881,-111.9319
"AZ","Big Blue Van",2061,0.058,0,233,"Fruit / Vegetable Beer",16,"College Street Brewhouse and Pub","Lake Havasu City","arizona","Arizona",34.5006,-114.3113
"AZ","Pumpkin Porter",1616,0.051,0,161,"American Porter",12,"Four Peaks Brewing Company","Tempe","arizona","Arizona",33.3881,-111.9319
"AZ","Epicenter Amber Ale (2010)",124,0.055,20,31,"American Amber / Red Ale",12,"SanTan Brewing Company","Chandler","arizona","Arizona",33.2825,-111.8514
"AZ","Hop Shock IPA (2010)",317,0.07,85,31,"American IPA",12,"SanTan Brewing Company","Chandler","arizona","Arizona",33.2825,-111.8514
"AZ","Count Hopula (Vault Series)",2063,0.091,99,31,"American Double / Imperial IPA",16,"SanTan Brewing Company","Chandler","arizona","Arizona",33.2825,-111.8514
